,r_index,book_id,authors,original_title,image_url,average_rating,ratings_count,genre,desc
2874,2979,2906039,Stephen King,Just After Sunset,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348108664l/2906039.jpg,3.85,34722,"horror, fiction",Just After SunsetStephen King
2875,2980,201114,Patricia McCormick,Sold,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442850952l/201114._SY475_.jpg,4.19,36389,"fiction, poetry",SoldPatricia McCormick
2876,2981,552887,James Patterson,Double Cross,https://images.gr-assets.com/books/1256839349l/552887.jpg,3.99,34189,"crime, suspense",Double CrossJames Patterson
2877,2982,27822,"Alexander Pushkin, James E. Falen",Евгений Онегин: Роман в стихах ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388373138l/27822.jpg,4.08,33240,"romance, poetry","A novel in verse follows the lives of three women and three men in 1820s
Russia."
2878,2983,13138635,"Amie Kaufman, Meagan Spooner",These Broken Stars,https://images.gr-assets.com/books/1383578978l/13138635.jpg,3.93,44488,"romance, fantasy","It's a night like any other on board the Icarus. Then, catastrophe strikes:
the massive luxury spaceliner is yanked out of hyperspace and plummets into
the nearest planet. Lilac LaRoux and Tarver Merendsen survive. And they
seem to be alone. Lilac is the daughter of the richest man in the universe.
Tarver comes from nothing, a young war hero who learned long ago that girls
like Lilac are more trouble than they're worth. But with only each other to
rely on, Lilac and Tarver must work together, making a tortuous journey
across the eerie, deserted terrain to seek help. Then, against all odds,
Lilac and Tarver find a strange blessing in the tragedy that has thrown
them into each other's arms. Without the hope of a future together in their
own world, they begin to wonder-would they be better off staying here
forever? Everything changes when they uncover the truth behind the chilling
whispers that haunt their every step. Lilac and Tarver may find a way off
this planet. But they won't be the same people who landed on it. The first
in a sweeping science fiction trilogy, These Broken Stars is a timeless
love story about hope and survival in the face of unthinkable odds."
2879,2984,2986865,Alison Goodman,The Two Pearls of Wisdom,https://images.gr-assets.com/books/1299076175l/2986865.jpg,3.98,42802,"fantasy, fiction","Twelve-year-old Eon, aspiring apprentice to the zodiacal Rat Dragon, is
playing a dangerous game: he is actually Eona, 16 years old and a girl."
2880,2985,4538,E.L. Konigsburg,The View from Saturday,https://images.gr-assets.com/books/1476944774l/4538.jpg,3.74,36803,"fiction, contemporary","Four students, with their own individual stories, develop a special bond
and attract the attention of their teacher, a paraplegic, who chooses them
to represent their sixth-grade class in the Academic Bowl competition."
2881,2986,7933615,"P.C. Cast, Kristin Cast",Hidden,https://images.gr-assets.com/books/1340127630l/7933615.jpg,3.98,38594,"fantasy, paranormal","In Hidden by P.C. Cast and Kristin Cast, Zoey at last has what she wanted:
the truth is out. Neferet's evil has been exposed, and the High Council is
no longer on her side—so why is she far from done wreaking havoc in the
vampyre world? First a mysterious fire ravages the stables, then, Neferet
makes a devastating move that will test them all. With the seeds of
distrust sown, everyone must band together—but that's proving to be more
difficult than ever before. The twins are barely speaking and the House of
Night's former enemy, Kalona, has now become their warrior, pushing their
trust to the limit. To top it off, Zoey is pretty darn sure she might be
losing her mind—she saw something when she looked at Aurox through the Seer
Stone that she can hardly explain to herself, let alone her friends. Is it
possible that Heath has come back in a different form? Is that why Zoey's
so intrigued by Aurox, when it's so obvious he's dangerous? And who would
believe her if she told them? Zoey knows that following her instinct about
Aurox might be just what they need to defeat evil . . . but if she's wrong,
it could cause the destruction of those closest to her. With the tension at
a breaking point and friendships on the line, can the nerd herd come
together to stop Neferet before it's too late?"
2882,2987,11454587,Rachel Hawkins,Spell Bound,https://images.gr-assets.com/books/1313010167l/11454587.jpg,4.09,48116,"fantasy, paranormal","Hailed as “impossible to put down,” the Hex Hall series has both critics
and teens cheering. With a winning combination of romance, action, magic
and humor, this third volume will leave readers enchanted. Just as Sophie
Mercer has come to accept her extraordinary magical powers as a demon, the
Prodigium Council strips them away. Now Sophie is defenseless, alone, and
at the mercy of her sworn enemies—the Brannicks, a family of warrior women
who hunt down the Prodigium. Or at least that’s what Sophie thinks, until
she makes a surprising discovery. The Brannicks know an epic war is coming,
and they believe Sophie is the only one powerful enough to stop the world
from ending. But without her magic, Sophie isn’t as confident. Sophie’s
bound for one hell of a ride—can she get her powers back before it’s too
late?"
2883,2988,32979,"Carolyn Keene, Russell H. Tandy, Sara Paretsky","The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)",https://images.gr-assets.com/books/1351534678l/32979.jpg,3.98,44256,"mystery, fiction",Nancy Drew's keen mind is tested when she searches for a missing will.
2884,2989,33810,Nelson DeMille,Plum Island,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388460212l/33810.jpg,4.03,30595,"fiction, suspense",Plum IslandNelson DeMille
2885,2990,325421,"Hugh Lofting, Michael Hague",The Story of Doctor Dolittle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1173762816l/325421._SX318_.jpg,3.98,36867,"classics, fantasy","When his colleague Long Arrow disappears, Dr. Dolittle sets off with his
assistant, Tommy Stubbins, his dog, Jip, and Polynesia the parrot on an
adventurous voyage over tropical seas to floating Spidermonkey Island."
2886,2991,10911,Jodi Picoult,Second Glance,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442728010l/10911._SY475_.jpg,3.79,33486,"fiction, mystery",Second GlanceJodi Picoult
2887,2992,94803,Arnold Lobel,Frog and Toad Together,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388457665l/94803.jpg,4.21,34172,"fiction, classics","Best Friends Frog and Toad are always together. Here are five wonderful
stories about flowers, cookies, bravery, dreams, and, most of all,
friendship."
2888,2993,6219656,Shirley Jackson,The Lottery,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348757577l/6219656.jpg,4.09,38448,"classics, horror","Presents an unabridged selection from the story about a seemingly ordinary
village that participates in a yearly lottery to determine a sacrificial
victim."
2889,2994,58822,Adriana Trigiani,Big Stone Gap,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390406115l/58822.jpg,3.86,34200,"fiction, romance","Town pharmacist and local spinster Ave Maria has been keeping the secrets
of Stone Gap for a long time, but now a skeleton is about to tumble from
her own family closet. A first novel. 150,000 first printing."
2890,2995,74824,Steve Berry,The Alexandria Link,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387711944l/74824.jpg,3.92,31070,"fiction, thriller","When his son is kidnapped, Cotton Malone discovers a link to a conspiracy
involving the lost contents of the Library of Alexandria, a priceless
treasury of thousands of ancient manuscripts that vanished more than 1,500
years ago."
2891,2996,7896345,Kelley Armstrong,The Gathering,https://images.gr-assets.com/books/1277820938l/7896345.jpg,4.03,48722,"paranormal, fantasy","An ordinary town . . . full of deadly secrets Strange things have been
happening in sixteen-year-old Maya's small Vancouver Island community—from
the mountain lions that have been constantly approaching her to her best
friend's hidden talent for ""feeling"" out people and situations. There's
also a sexy new bad boy who makes Maya feel . . . different. Combine that
with a few unexplained deaths and a mystery involving Maya's biological
parents and it's easy to suspect that this town might have more than its
share of skeletons in its closet."
2892,2997,9833184,Richelle Mead,The Fiery Heart,https://images.gr-assets.com/books/1383243238l/9833184.jpg,4.39,49513,"fantasy, paranormal","The fourth installment of Mead's ""New York Times""-bestselling series. After
making a life-changing decision, Sydney Sage, an Alchemist who serves to
bridge the worlds of humans and vampires, must tread a careful path as she
harnesses her profound magical ability to undermine the way of life she was
raised to defend."
2893,2998,6479550,Ilona Andrews,Magic Bleeds,https://images.gr-assets.com/books/1407110429l/6479550.jpg,4.46,50637,"fantasy, paranormal",Magic BleedsIlona Andrews
2894,2999,25152052,"Isabel Allende, Nick Caistor, Amanda Hopkinson",El amante japonés,https://images.gr-assets.com/books/1501991754l/25152052.jpg,3.8,23737,"fiction, romance","El amante japonésIsabel Allende, Nick Caistor, Amanda Hopkinson"
2895,3000,47990,Terry Pratchett,Jingo,https://images.gr-assets.com/books/1327921813l/47990.jpg,4.11,35961,"fantasy, fiction","It isn't much of an island that rises up one moonless night from the depths
of the Circle Sea -- just a few square miles of silt and some old ruins.
Unfortunately, the historically disputed lump of land called Leshp is once
again floating directly between Ankh-Morpork and the city of Al-Khali on
the coast of Klatch -- which is spark enough to ignite that glorious
international pastime called ""war."" Pressed into patriotic service,
Commander Sam Vimes thinks he should be leading his loyal watchmen, female
watchdwarf, and lady werewolf into battle against local malefactors rather
than against uncomfortably well-armed strangers in the Klatchian desert.
But war is, after all, simply the greatest of all crimes -- and it's Sir
Samuel's sworn duty to seek out criminal masterminds wherever they may be
hiding ... and lock them away before they can do any real damage. Even the
ones on his own side."
2896,3001,704043,Lara Adrian,Kiss of Midnight,https://images.gr-assets.com/books/1327884885l/704043.jpg,3.93,48695,"paranormal, romance","After falling for vampire warrior Lucan Thorne, Gabrielle Maxwell is drawn
into the dark and dangerous world of hunter vampires, one in which a blood
war is on the edge of ignition."
2897,3002,32071,"D.H. Lawrence, Geoff Dyer",Sons and Lovers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386924291l/32071.jpg,3.61,33792,"classics, fiction","Sons and LoversD.H. Lawrence, Geoff Dyer"
2898,3003,8155,Barbara Taylor Bradford,A Woman of Substance ,https://images.gr-assets.com/books/1330029941l/8155.jpg,4.16,31309,"fiction, romance","In celebration of its thirtieth anniversary, here is the novel that started
it all: New York Times bestselling author Barbara Taylor Bradford's
dazzling saga of a woman who dared to dream--and to triumph against all
odds. . . . On the brooding moors above a humble Yorkshire village stood
Fairley Hall. There, Emma Harte, its oppressed but resourceful servant
girl, acquired a shrewd determination. There, she honed her skills,
discovered the meaning of treachery, learned to survive, to become a woman,
and vowed to make her mark on the world. In the wake of tragedy she rose
from poverty to magnificent wealth as the iron-willed force behind a
thriving international enterprise. As one of the richest women in the world
Emma Harte has almost everything she fought so hard to achieve--save for
the dream of love, and for the passion of the one man she could never have.
Through two marriages, two devastating wars, and generations of secrets,
Emma's unparalleled success has come with a price. As greed, envy, and
revenge consume those closest to her, the brilliant matriarch now finds
herself poised to outwit her enemies, and to face the betrayals of the past
with the same ingenious resolve that forged her empire."
2899,3004,15757434,Nicole  Williams,Crash,https://images.gr-assets.com/books/1342588706l/15757434.jpg,4.02,49133,"romance, contemporary",CrashNicole  Williams
2900,3005,15791154,David Baldacci,The Hit,https://images.gr-assets.com/books/1361749502l/15791154.jpg,4.05,25123,"thriller, fiction","From David Baldacci--#1 bestselling author and one of the world's most
popular, widely read storytellers--comes the most thrilling novel of the
year. THE HIT Will Robie is a master of killing. A highly skilled assassin,
Robie is the man the U.S. government calls on to eliminate the worst of the
worst-enemies of the state, monsters committed to harming untold numbers of
innocent victims. No one else can match Robie's talents as a hitman...no
one, except Jessica Reel. A fellow assassin, equally professional and
dangerous, Reel is every bit as lethal as Robie. And now, she's gone rogue,
turning her gun sights on other members of their agency. To stop one of
their own, the government looks again to Will Robie. His mission: bring in
Reel, dead or alive. Only a killer can catch another killer, they tell him.
But as Robie pursues Reel, he quickly finds that there is more to her
betrayal than meets the eye. Her attacks on the agency conceal a larger
threat, a threat that could send shockwaves through the U.S. government and
around the world."
2901,3006,22200,William Gibson,Count Zero,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390358225l/22200.jpg,4,32238,"fiction, science","In the future world of the Sprawl, an urban complex that extends from
Boston to Houston, a sentient computer data base known as the Cyberspace
matrix dominates humanity's fate"
2902,3007,24472,Lisa See,Peony in Love,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438435175l/24472._SX318_.jpg,3.59,34044,"fiction, romance","In seventeenth-century China, three women become emotionally involved with
The Peony Pavilion, a famed opera rumored to cause lovesickness and even
death, including Peony, the cloistered daughter of a wealthy scholar, who
succumbs to its spell only to return after her death as a ""hungry ghost"" to
haunt her former fiancé, who has married another. Reader's Guide included.
Reprint. 250,000 first printing."
2903,3008,5231173,Sarah Ockler,Twenty Boy Summer,https://images.gr-assets.com/books/1342447832l/5231173.jpg,3.89,35435,"romance, contemporary","""Don't worry, Anna. I'll tell her, okay? Just let me think about the best
way to do it."" ""Okay."" ""Promise me? Promise you won't say anything?"" ""Don't
worry."" I laughed. ""It's our secret, right?"" According to her best friend
Frankie, twenty days in Zanzibar Bay is the perfect opportunity to have a
summer fling, and if they meet one boy every day, there's a pretty good
chance Anna will find her first summer romance. Anna lightheartedly agrees
to the game, but there's something she hasn't told Frankie---she's already
had that kind of romance, and it was with Frankie's older brother, Matt,
just before his tragic death one year ago. Beautifully written and
emotionally honest, this is a debut novel that explores what it truly means
to love someone and what it means to grieve, and ultimately, how to make
the most of every single moment this world has to offer."
2904,3009,81922,"Robert T. Kiyosaki, Sharon L. Lechter",Cashflow Quadrant: Rich Dad's Guide to Financial Freedom,https://images.gr-assets.com/books/1483023081l/81922.jpg,4.05,24907,"business, nonfiction","Cashflow Quadrant: Rich Dad's Guide to Financial FreedomRobert T. Kiyosaki, Sharon L. Lechter"
2905,3010,7058405,"Camilla Läckberg, Steven T. Murray",Isprinsessan,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347445122l/7058405.jpg,3.69,29913,"crime, fiction","The first novel in Camilla LÄckberg's bestselling Swedish mystery series
set in a small fishing village."
2906,3011,22649,Jane Green,Bookends,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388258584l/22649.jpg,3.7,32755,"fiction, romance","The world of four lifelong friends--best friends Catherine and Simon, both
unlucky in love, and Josh and Lucy, happily married to each other--is
thrown into turmoil by the arrival of Portia, a beautiful college friend
with a reputation for breaking hearts."
2907,3013,88071,John Scalzi,The Last Colony,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437660786l/88071._SY475_.jpg,4.03,29154,"fiction, fantasy","Serving his human colony on distant Huckleberry as a village ombudsman,
retired fighter John Perry looks forward to settling into farm life with
his wife and adopted daughter before he is reluctantly drawn back into the
dangerous interstellar politics of his past, in the sequel to Old Man's War
and The Ghost Brigades. Reprint."
2908,3014,826582,"Laura Joffe Numeroff, Felicia Bond", ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347941764l/826582.jpg,4.26,32340,"fiction, fantasy","""If you give a mouse a cookie, he's going to ask for a glass of milk. When
you give him the milk, he'll probably ask you for a straw. . . "". So begins
this delightful story about an energetic mouse and an accommodating little
boy. Full-color illustrations."
2909,3015,18593175,Colleen Hoover,Finding Cinderella,https://images.gr-assets.com/books/1380847885l/18593175.jpg,4.3,42821,"romance, contemporary","Daniel does not believe in love at first sight until he lays eyes on Six, a
girl with a quirky personality, but a secret from the past could jeopardize
their chance at happily ever after."
2910,3016,9298,Marian Keyes,Last Chance Saloon,https://images.gr-assets.com/books/1407708818l/9298.jpg,3.78,32255,"fiction, romance",Last Chance SaloonMarian Keyes
2911,3017,17156015,Georgia Cates,Beauty from Pain,https://images.gr-assets.com/books/1360699932l/17156015.jpg,4.25,46668,"romance, contemporary","A New York Times and USA Today Bestseller.... They agreed on three
months...but their love knew no boundaries. Jack McLachlan is a winemaking
magnate and easily one of Australia's most eligible bachelors. His success
and wealth makes him no stranger to the complications of romantic
relationships and that's why he goes to extreme measures to avoid the
hassle. He prefers simplicity in the form of a beautiful female companion
with no strings attached. He arranges relationships like business deals and
they're always the same. No long term relationships. No real names. It's
his game and his rules. He's content to play as usual, but when Laurelyn
Prescott enters his life, his strategy must change because this player is
like none he's ever encountered. His world is turned on its head after he
begins a three month affair with the beautiful American musician. Nothing
goes according to plan and as he breaks more and more of his own rules for
her, she's exceptionally close to becoming something he never thought
possible. His ultimate game changer. Beauty From Pain is an adult
contemporary novel and is not intended for younger readers due to mature
content."
2912,3018,43339,Mary Higgins Clark,Where Are the Children?,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388257386l/43339.jpg,4,34816,"mystery, fiction","Nancy Harmon long ago fled the heartbreak of her first marriage, the
macabre deaths of her two little children, and the shocking charges against
her. She changed her name, dyed her hair, and left California for the
windswept peace of Cape Cod. Now remarried, she has two more beloved
children, and the terrible pain has begun to heal -- until the morning when
she looks in the backyard for her little boy and girl and finds only one
red mitten. She knows that the nightmare is beginning again...."
2913,3020,7723,"Franz Kafka, Jason Baker, Donna Freed",Die Verwandlung und andere Erzählungen,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925094l/7723.jpg,4.01,29817,"classics, fiction","Die Verwandlung und andere ErzählungenFranz Kafka, Jason Baker, Donna Freed"
2914,3021,218357,Thrity Umrigar,The Space Between Us,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925898l/218357.jpg,3.98,30326,"fiction, contemporary","Captures the delicate balance of class and gender in contemporary India as
witnessed through the lives of two women--Sera Dubash, an upper middle-
class housewife, and Bhima, an illiterate domestic hardened by a life of
loss and despair."
2915,3022,3049,"Unknown, Burton Raffel, Neil D. Isaacs",Gawayn and þe Grene Knyȝt,https://images.gr-assets.com/books/1309282183l/3049.jpg,3.68,36477,"classics, poetry","The Green Knight, a mysteriously powerful creature, tests the honor and
courage of King Arthur's youngest knight."
2916,3023,4921,Jerome K. Jerome,Three Men in a Boat (To Say Nothing of the Dog),https://images.gr-assets.com/books/1392791656l/4921.jpg,3.9,30250,"travel, fiction",Three Men in a Boat (To Say Nothing of the Dog)Jerome K. Jerome
2917,3024,214614,Edward Abbey,Desert Solitaire,https://images.gr-assets.com/books/1399583343l/214614.jpg,4.22,27723,"nonfiction, memoir","An account of the author's existence, observations and reflections, as a
seasonal park ranger in southeast Utah"
2918,3025,6419,Janet Evanovich,Plum Lovin',https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442873718l/6419._SY475_.jpg,3.7,43643,"mystery, fiction","Receiving simultaneous caches of love letters and hate mail, Connie Rosolli
enlists the aid of Lula, Grandma Mazur, and the enigmatic Diesel when she
becomes suspicious that her secret admirer and stalker are the same person.
Reprint."
2919,3026,56454,Tom Rath,Strengths Finder 2.0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440946880l/56454._SX318_.jpg,3.92,30199,"business, nonfiction","An updated version of the StrengthsFinder program developed by Gallup
experts to help readers discover their distinct talents and strengths and
how they can be translated into personal and career successes."
2920,3027,9570,Tom Robbins,Another Roadside Attraction,https://images.gr-assets.com/books/1327866271l/9570.jpg,3.97,25777,"fiction, contemporary","A clairvoyant girl enthralled by the mysterious beauty of butterflies
marries the son of Congo missionaries, and the newlyweds set up a roadside
zoo"
2921,3028,92163,Edward Rutherfurd,Sarum: The Novel of England,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266470349l/92163.jpg,4.07,28292,"fiction, history",An epic novel that traces the entire turbulent course of English history.
2922,3029,43328,Sidney Sheldon,Rage of Angels,https://images.gr-assets.com/books/1356445383l/43328.jpg,3.91,27196,"fiction, thriller",Rage of AngelsSidney Sheldon
2923,3031,9395215,Alyson Noel,Everlasting,https://images.gr-assets.com/books/1362336387l/9395215.jpg,3.92,38185,"fantasy, paranormal","Their epic love story has captured the hearts of millions and enchanted
readers across the world. Everlasting is the beautiful finale to Alyson
Noël's bestselling Immortals series, in which their journey draws to a
spectacular conclusion—where all will be revealed. Their darkest enemies
now defeated, Damen and Ever are free to embark upon their final quest—to
free Damen from the poison lingering in his body. If they can just find the
antidote, they'll finally be able to feel each other's touch—and experience
the passionate night they've been longing for. But their fight to be
together will lead them into the most formidable terrain yet...into the
dark heart of Summerland. Here in a land of scorched earth and endless
rain, Ever and Damen will discover their relationship's hidden origins,
expose a secret history they never imagined...and come face to face with
the true reason fate keeps tearing them apart. Only then, when the final
mystery is unraveled and the last secret revealed, Ever and Damen's future
will hinge on one ultimate decision that will put everything at
stake....even eternity."
2924,3033,586472,Tom Wolfe,The Right Stuff,https://images.gr-assets.com/books/1393654700l/586472.jpg,4.23,30701,"history, nonfiction",The Right StuffTom Wolfe
2925,3034,129645,Madeleine Wickham,Cocktails for Three,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442849180l/129645._SY475_.jpg,3.38,30415,"fiction, contemporary",Cocktails for ThreeMadeleine Wickham
2926,3035,32255,Tess Gerritsen,Vanish,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388198630l/32255.jpg,4.13,37045,"mystery, thriller","FBI agent Gabriel Dean rushes into action to protect his pregnant wife,
homicide detective Jane Rizzoli, when she is taken hostage along with
others at the hospital by Nicholas Tennant, a black-ops agent in possession
of high-level government secrets, after he is sent to the hospital when
Boston M.E. Maura Isles discovers that Tennant is still alive as she
prepares for his autopsy. Reprint."
2927,3036,33441,Christopher Moore,"Fluke: Or, I Know Why the Winged Whale Sings",https://images.gr-assets.com/books/1168444068l/33441.jpg,3.73,32675,"fiction, fantasy","Just why do humpback whales sing? That's the question that has marine
behavioral biologist Nate Quinn and his crew poking, charting, recording,
and photographing very big, wet, gray marine mammals. Until the
extraordinary day when a whale lifts its tail into the air to display a
cryptic message spelled out in foot-high letters: Bite me. Trouble is,
Nate's beginning to wonder if he hasn't spent just a little too much time
in the sun. 'Cause no one else on his team saw a thing -- not his longtime
partner, Clay Demodocus; not their saucy young research assistant; not even
the spliff-puffing white-boy Rastaman Kona (né Preston Applebaum). But
later, when a roll of film returns from the lab missing the crucial tail
shot -- and his research facility is trashed -- Nate realizes something
very fishy indeed is going on. By turns witty, irreverent, fascinating,
puzzling, and surprising, Fluke is Christopher Moore at his outrageous
best."
2928,3038,7362158,Jean Kwok,Girl in Translation,https://images.gr-assets.com/books/1347022887l/7362158.jpg,3.96,34823,"fiction, contemporary","Emigrating with her mother from Hong Kong to Brooklyn, Kimberly begins a
double life as a schoolgirl by day and sweatshop worker at night, an
existence also marked by her first crush and the pressure to save her
family from poverty."
2929,3039,17565845,Lauren Oliver,Panic,https://images.gr-assets.com/books/1374066076l/17565845.jpg,3.56,39875,"contemporary, mystery","From New York Times bestselling author Lauren Oliver comes a captivating,
thrilling novel of fear, friendship, courage, and hope that will leave
readers gasping for air. Panic began as so many things do in Carp, a poor
town of twelve thousand people in the middle of nowhere: because it was
summer, and there was nothing else to do. Heather never thought she would
compete. She'd never thought of herself as fearless, the kind of person who
would fight to stand out. But when she finds something, and someone, to
fight for, she will discover that she is braver than she ever thought.
Dodge has never been afraid of panic. His secret will fuel him, and get him
all the way through the game; he's sure of it. But what he doesn't know is
that he's not the only one with a secret. Everyone has something to play
for. For Heather and Dodge, the game will bring new alliances, unexpected
revelations, and the possibility of first love for each of them—and the
knowledge that sometimes the very things we fear are those we need the
most."
2930,3040,13146214,Abbi Glines,Because of Low,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322924946l/13146214.jpg,4.14,48344,"romance, contemporary","When Marcus has no choice but to move into his friend's apartment, he falls
for the girl his roommate hopes to marry one day."
2931,3042,217432,Kristin Hannah,Between Sisters,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388240280l/217432.jpg,4,28020,"fiction, romance",Between SistersKristin Hannah
2932,3043,17920175,Blake Crouch,Wayward,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388363926l/17920175.jpg,4.12,19208,"thriller, horror","Ethan Burke, one of the few who knows what lies beyond the borders of
Wayward Pines, settles uncomfortably into his role as sheriff."
2933,3044,1375896,"Angie Sage, Mark Zug",Queste,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440956685l/1375896._SX318_.jpg,4.04,40562,"fantasy, fiction","QuesteAngie Sage, Mark Zug"
2934,3045,23305614,Sophie Kinsella,Finding Audrey,https://images.gr-assets.com/books/1466835008l/23305614.jpg,3.82,38226,"contemporary, romance","From the #1 New York Times bestselling author of the Shopaholic series
comes a terrific blend of comedy, romance, and psychological recovery in a
contemporary YA novel sure to inspire and entertain. Audrey wears dark
glasses all the time, even in the house. She almost never goes out, doesn't
talk to new people, and finds making eye contact to be nearly impossible.
But then one day she meets Linus. Linus is her brother's friend and a
sensitive spirit with whom she can talk through her fears. He makes her
laugh and doesn't leave her feeling like she's being judged. As their
friendship deepens, Audrey's recovery gains momentum, and she and Linus
begin to develop feelings for each other. But how can they have a future
together when Audrey hasn't dealt with her past? And how could anyone ever
love her once they've seen her at her worst? ""An outstanding tragicomedy
that gently explores mental illness, the lasting effects of bullying, and
the power of friends and loving family to help in the healing.""--Kirkus
Reviews, Starred ""Kinsella's knack for humor and sensitivity shine.""
Publishers Weekly"
2935,3046,603422,Mollie Katzen,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",https://images.gr-assets.com/books/1344370160l/603422.jpg,3.95,34502,"cookbooks, nonfiction","A compilation of recipes from the Moosewood Restaurant with vegetarian and
ethnic emphasis."
2936,3047,105551,Dr. Seuss,Fox in Socks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603122427l/105551._SX318_.jpg,4.04,40369,"fiction, classics","A tricky fox in socks plays tongue-twisting games on his increasingly
exasperated friend, Mr. Knox."
2937,3048,2517,"Orhan Pamuk, Erdağ M. Göknar",Benim Adım Kırmızı,https://images.gr-assets.com/books/1374015288l/2517.jpg,3.83,27314,"fiction, mystery","A furor erupts in sixteenth-century Istanbul when the Sultan commissions
the European-style illumination of a great book, and the situation worsens
when one of the miniaturists vanishes mysteriously."
2938,3049,78250,Carlos Castaneda,The Teachings of Don Juan: A Yaqui Way of Knowledge,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388266931l/78250.jpg,3.94,27784,"philosophy, spirituality","An anthropologist records his corversations with the Yaqui Indian sorcerer
and offers a structural analysis of Don Juan's teachings"
2939,3050,9509287,David Baldacci,The Sixth Man,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441837587l/9509287._SY475_.jpg,4.13,29257,"mystery, thriller","In the #1 New York Times bestselling thriller that inspired the TV series
King & Maxwell, two private investigators dig into a killer's past--but
when their search threatens powerful enemies, it could cost them their
lives. Edgar Roy--an alleged serial killer--is awaiting trial. He faces
almost certain conviction. Sean King and Michelle Maxwell are called in by
Roy's attorney, Sean's old friend and mentor Ted Bergin, to help work the
case. But their investigation is derailed when Sean and Michelle find
Bergin murdered. It is now up to them to ask the questions no one seems to
want answered: Is Roy a killer? Who murdered Bergin? The more they dig into
Roy's past, the more they encounter obstacles, half-truths, dead-ends,
false friends, and escalating threats from every direction. Their
persistence puts them on a collision course with the highest levels of the
government and the darkest corners of power. In a terrifying confrontation
that will push Sean and Michelle to their limits, the duo may be
permanently parted."
2940,3051,193093,Marcia Brown,Stone Soup (Stories to Go!),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389316444l/193093.jpg,4.23,37313,"fiction, classics","When three hungry soldiers come to a town where all the food has been
hidden, they set out to make soup of water and stones, and all the town
enjoys a feast."
2941,3052,213647,Cinda Williams Chima,The Warrior Heir,https://images.gr-assets.com/books/1360575642l/213647.jpg,3.95,40346,"fantasy, fiction","After learning about his magical ancestry and his own warrior powers,
sixteen-year-old Jack embarks on a training program to fight enemy wizards."
2942,3053,19004663,Janet Evanovich,Top Secret Twenty-One,https://images.gr-assets.com/books/1394500766l/19004663.jpg,3.79,31294,"mystery, fiction","Bounty hunter Stephanie Plum searches in vain for suspected killer Jimmy
Poletti while unwillingly providing protection for Randy Briggs, Poletti's
bookkeeper and next potential victim."
2943,3054,2223324,John   Williams,Harry Potter and the Chamber of Secrets: Sheet Music for Flute with C.D,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347429015l/2223324.jpg,4.61,29409,"fantasy, music","All editions are compatible and can be played separately or together. The
included CD contains a demonstration of each song followed by a play-along
track. Titles are: The Chamber of Secrets * Dobby the House Elf * Family
Portrait * Fawkes the Phoenix * Gilderoy Lockhart * Harry's Wondrous World
* Hedwig's Theme * Moaning Myrtle * Nimbus 2000."
